,Name,Price,Sold_out,Location
31,Teenie Biscuit ทีนนี่ บิสกิตหน้าขนมหวาน (เลือกรสชาติ),15.0,15000.0,จังหวัดสมุทรปราการ
32,(1 กล่อง 15g 12 ชิ้น) ขนมอบกรอบไส้ทะลักแท่งยาว ตรา กรินนี่ (Grinny),55.0,254.0,จังหวัดกรุงเทพมหานคร
33,(พร้อมส่ง) ขนมเกลียว รสน้ำตาล หวานเล็กน้อย ขนมเกียวกรอบ 115g 傻二哥小麻花,39.0,538.0,จังหวัดสมุทรปราการ
34,🔥ราคาพิเศษ🔥ทิวลี่ นอตส์ ขนมบิสกิต 23 กรัม (แพ็คx12ห่อ)✅,54.0,354.0,จังหวัดสุพรรณบุรี
35,ช๊อคกี้ ขนมเวเฟอร์สอดไส้ครีมบัตเตอร์ 30 ก. แพ็ค 12,53.0,60.0,จังหวัดสมุทรปราการ
36,🔥ช็อคโกแล็ตเคลือบสตอเบอรี่ ขนมมาแรงจากญี่ปุ่น มี 3 รส ขนาด 60 กรัม [พร้อมส่ง] K30 🍓,38.0,292.0,จังหวัดกรุงเทพมหานคร
37,ช๊อคกี้ ขนมเวเฟอร์สอดไส้ครีมรสนม 30 ก. แพ็ค 12,53.0,155.0,จังหวัดสมุทรปราการ
38,ขนมปี๊บแบ่ง ขนมสร้างรายได้ ให้ปริมาณขนมเยอะ ราคาถูก คละได้ 🔥 มีขนมมากกว่าในรูป กดดูในตัวเลือกสินค้าได้เลยค่ะ,12.0,675.0,จังหวัดสงขลา
39,ขนมกรอบ ขนมขบเคี้ยว ขนมปี๊บ 🍫มินิเวเฟอร์สติ๊กช็อก🍫(ซื้อขั้นต่ำ3ชิ้น),9.0,2000.0,จังหวัดนนทบุรี
40,ขนมโอโจ้ ยูโร่ เวเฟอร์ 17 กรัม * 6 กล่อง,33.0,956.0,จังหวัดเชียงใหม่
41,New‼️ขนมสอดใส้ Nabati Roll's wafer stick🥖[20แท่ง] นาบาติโรลชีสและช็อค,35.0,13000.0,จังหวัดสงขลา
42,รวมมิตร ขนมขาไก่ กรอบ อร่อย เคี้ยวเพลิน ขนมในตำนานตลอดกาล,35.0,811.0,จังหวัดสุโขทัย
43,มาใหม่โดนใจ ขนมไทยที่ทุกคนตามหา ขนมโบราณหายาก ขนมหวานสุดอร่อย,19.0,29000.0,จังหวัดปทุมธานี
44,🔥🔥พร้อมจัดส่ง🔥🔥 ขนมโยเกิร์ตก้อน โยเกิร์ตกรอบ  โยเกิร์ตสมูทตี้อบกรอบ ขนมทานเล่นเคลือบช๊อคโกแลตผสมผลไม้,69.0,676.0,จังหวัดกรุงเทพมหานคร
45,🔥ใส่โค้ด PFRXJQ 🔥คลาสสิคบราวนี่🍫 Classic Brownies ขนม ไร้ไขมันทรานส์ ดีต่อสุขภาพ (ไม่มีขั้นต่ำ),14.0,567000.0,จังหวัดขอนแก่น
46,ขนมบิสกิตธัญพืชเพื่อสุขภาพ (20ชิ้น) ขนมธัญพืช คุกกี้ คุ๊กกี้ธัญพืช บิสกิต เกรน หน้าธัญพืช ขนมทานเล่น cookies biscuits,38.0,226.0,จังหวัดนนทบุรี
